t,S,I,R
18.968235166328192,488,167,345
18.986784265542713,487,168,345
18.98751016508204,487,167,346
18.998328479775523,486,168,346
19.018359084194064,485,169,346
19.06733866476095,484,170,346
19.103681426712196,483,171,346
19.110437578990453,482,172,346
19.133648959873216,481,173,346
19.142679505387118,480,174,346
19.143247091465984,480,173,347
19.153713852517363,479,174,347
19.180933564844675,478,175,347
19.187627350068404,477,176,347
19.191127765647565,476,177,347
19.19266199007811,476,176,348
19.19282876065408,475,177,348
19.201194081391062,474,178,348
19.205453972914388,473,179,348
19.220140602150522,472,180,348
19.226022625923516,471,181,348
19.23945412729182,471,180,349
19.25974690330684,470,181,349
19.26023010439699,469,182,349
19.261021322181406,468,183,349
19.263626801488165,468,182,350
19.27231538919343,467,183,350
19.28174006954854,466,184,350
19.294938383997295,466,183,351
19.335858653322916,465,184,351
19.345881699867654,465,183,352
19.355076599890243,464,184,352
19.366051337547844,464,183,353
19.3689761571163,463,184,353
19.370041853951754,463,183,354
19.384065389545977,463,182,355
19.385107956039775,463,181,356
19.386061430046,463,180,357
19.38880759698047,462,181,357
19.41443938116818,461,182,357
19.43389294939559,460,183,357
19.44341876251409,460,182,358
19.47112380936687,459,183,358
19.47933998052493,459,182,359
19.493695326746096,458,183,359
19.495035862390655,458,182,360
19.507696698075442,458,181,361
19.51851625381168,458,180,362
19.532160365406316,458,179,363
19.533572972943723,458,178,364
19.550148719066225,457,179,364
19.571984882068122,456,180,364
19.578909488110217,456,179,365
19.583823304448288,456,178,366
19.587494572000224,456,177,367
19.59645222607145,455,178,367
19.605088468186953,454,179,367
19.63909166760791,453,180,367
19.654309381190114,453,179,368
19.666934246387346,452,180,368
19.669757013745194,452,179,369
19.671736962815597,452,178,370
19.67946054564902,452,177,371
19.690642338914323,452,176,372
19.6929771006336,452,175,373
19.709221326535594,452,174,374
19.711507820538767,452,173,375
19.71308707815027,451,174,375
19.718856256434197,451,173,376
19.73555062853035,450,174,376
19.75421036672342,450,173,377
19.775696460809634,449,174,377
19.807996971905656,448,175,377
19.848314577448754,448,174,378
19.853889212655094,448,173,379
19.86519591420547,447,174,379
19.895148833438864,446,175,379
19.89918123368223,445,176,379
19.908495377736223,445,175,380
19.950000369178603,445,174,381
19.962803233160837,445,173,382
19.963631487293217,445,172,383
19.9641488632737,445,171,384
19.98468678487594,445,170,385
19.9866428073093,445,169,386
20.03158898741158,444,170,386
20.031657774000426,443,171,386
20.050751976167735,442,172,386
20.066706794747972,441,173,386
20.067547121714444,441,172,387
20.070964364715188,440,173,387
20.08737241728979,440,172,388
20.09282232608334,440,171,389
20.10704701313478,439,172,389
20.118783818024816,438,173,389
20.125654289396028,438,172,390
20.144862357348234,437,173,390
20.145981103352135,437,172,391
20.151402746670477,437,171,392
