num_repairers,replication,seed,time_to_failure,failed,avg_repair_queue,repairer_utilization
2,47,746,133.6010609879399,true,0.027134114590501607,0.485294007607723
2,48,747,22.06760285711816,true,0.06976337039591277,0.35076528178085453
2,49,748,22.22060198362248,true,0.010613701508124466,0.17028539234887663
2,50,749,39.0038976811615,true,0.04744369316359277,0.523731477398978
2,51,750,3.495148548534967,true,0.10417241395618387,0.31527803267549825
2,52,751,73.27954360958717,true,0.07470385199689762,0.5055902369593664
2,53,752,18.92807144387215,true,0.09658090152341854,0.4367759907665671
2,54,753,3.179973648242674,true,0.4321016215439815,0.6918984295488491
2,55,754,68.53665438971585,true,0.003315175998852047,0.28217705890494543
2,56,755,8.142639873626171,true,0.08528546225858678,0.32186367096671864
2,57,756,100.53526764272681,true,0.0317455080930385,0.22959793265800188
2,58,757,62.21523064018007,true,0.02095950310266133,0.3266733749474369
2,59,758,61.06022933683314,true,0.0666512084340867,0.4420846760008105
2,60,759,30.145258982143375,true,0.05468566161821642,0.39971052967317444
2,61,760,158.95544498024793,true,0.03879591595681621,0.4001849319047588
2,62,761,91.04869032908545,true,0.015017240513116006,0.2307881623658575
2,63,762,17.61967228758513,true,0.1194952680707358,0.46413423766686085
2,64,763,34.97891656982563,true,0.03246840061777653,0.3297710146784218
2,65,764,22.71616758686739,true,0.07627181156860036,0.5166944355338742
2,66,765,34.03779471630416,true,0.016280953000105142,0.3928815125040022
2,67,766,28.152227243072247,true,0.04319752096316867,0.41944613306046985
2,68,767,1.634377365301544,true,0.026800097498208168,0.20922545570910575
2,69,768,30.40623482109732,true,0.0215782401367317,0.30919598944947435
2,70,769,5.133456188200406,true,0.00591668016711015,0.10866319829149472
2,71,770,55.01906765525303,true,0.054656527679391095,0.442644731077944
2,72,771,23.903197288820415,true,0.040077103362509005,0.5349432566141955
2,73,772,112.6681197807614,true,0.030474219339266896,0.30416625825871957
2,74,773,5.790626567818941,true,0.008832891599140108,0.21648733145114915
2,75,774,36.399615455150695,true,0.024634220983127807,0.4719653391273602
2,76,775,53.75706180645273,true,0.0655581177871545,0.48066368405291515
2,77,776,51.02447860362783,true,0.07624177225571815,0.45299521702223267
2,78,777,1.9416338183294877,true,0.01693250311322702,0.5011627116088729
