customer_id,event,time,queue_length,busy_servers,waiting_time,service_time,system_time
96,arrival,122.80449723968039,6,2,NaN,NaN,NaN
89,departure,123.3020168190297,6,1,6.279582536517665,2.1082612605785083,8.387843797096167
91,service_start,123.3020168190297,5,2,7.216391315055333,6.372083539367107,NaN
90,departure,123.40099555933944,5,1,6.158889816063308,1.6346599881691752,7.793549804232484
92,service_start,123.40099555933944,4,2,7.077266907787745,1.045155540554192,NaN
97,arrival,123.70432765275488,5,2,NaN,NaN,NaN
92,departure,124.44615109989363,5,1,7.077266907787745,1.045155540554192,8.122422448341936
93,service_start,124.44615109989363,4,2,5.85686627659959,8.711866396357134,NaN
98,arrival,126.62995559203662,5,2,NaN,NaN,NaN
99,arrival,127.55807931536204,6,2,NaN,NaN,NaN
100,arrival,128.29984972160915,7,2,NaN,NaN,NaN
101,arrival,129.23022820705714,8,2,NaN,NaN,NaN
91,departure,129.6741003583968,8,1,7.216391315055333,6.372083539367107,13.58847485442243
94,service_start,129.6741003583968,7,2,9.375868602058304,0.7121892172082368,NaN
102,arrival,130.01788284046393,8,2,NaN,NaN,NaN
94,departure,130.38628957560505,8,1,9.375868602058304,0.7121892172082368,10.088057819266552
95,service_start,130.38628957560505,7,2,9.528968080045672,2.8327506538885054,NaN
103,arrival,130.9527195857559,8,2,NaN,NaN,NaN
93,departure,133.15801749625075,8,1,5.85686627659959,8.711866396357134,14.568732672956713
96,service_start,133.15801749625075,7,2,10.353520256570363,1.5129173108104417,NaN
95,departure,133.21904022949354,7,1,9.528968080045672,2.8327506538885054,12.361718733934168
97,service_start,133.21904022949354,6,2,9.51471257673866,1.072902922681695,NaN
97,departure,134.29194315217524,6,1,9.51471257673866,1.072902922681695,10.587615499420352
98,service_start,134.29194315217524,5,2,7.661987560138613,0.17592932735379352,NaN
98,departure,134.46787247952903,5,1,7.661987560138613,0.17592932735379352,7.837916887492412
99,service_start,134.46787247952903,4,2,6.909793164166999,1.6916714551537424,NaN
96,departure,134.6709348070612,4,1,10.353520256570363,1.5129173108104417,11.866437567380814
100,service_start,134.6709348070612,3,2,6.3710850854520515,3.031281680800435,NaN
104,arrival,135.20955339033924,4,2,NaN,NaN,NaN
105,arrival,135.5964441339181,5,2,NaN,NaN,NaN
99,departure,136.15954393468277,5,1,6.909793164166999,1.6916714551537424,8.601464619320737
101,service_start,136.15954393468277,4,2,6.929315727625635,10.573016901150279,NaN
106,arrival,137.28247102349465,5,2,NaN,NaN,NaN
100,departure,137.70221648786165,5,1,6.3710850854520515,3.031281680800435,9.402366766252499
102,service_start,137.70221648786165,4,2,7.684333647397722,0.03886972571547581,NaN
102,departure,137.74108621357712,4,1,7.684333647397722,0.03886972571547581,7.7232033731131935
103,service_start,137.74108621357712,3,2,6.788366627821233,4.544129430576332,NaN
107,arrival,138.87393954100827,4,2,NaN,NaN,NaN
108,arrival,138.90696189744185,5,2,NaN,NaN,NaN
109,arrival,140.565163220098,6,2,NaN,NaN,NaN
110,arrival,142.0045593670319,7,2,NaN,NaN,NaN
103,departure,142.28521564415345,7,1,6.788366627821233,4.544129430576332,11.332496058397567
104,service_start,142.28521564415345,6,2,7.075662253814215,0.5079548347076708,NaN
104,departure,142.79317047886113,6,1,7.075662253814215,0.5079548347076708,7.5836170885218905
105,service_start,142.79317047886113,5,2,7.196726344943016,0.3336069699333525,NaN
111,arrival,142.86338558533444,6,2,NaN,NaN,NaN
105,departure,143.12677744879448,6,1,7.196726344943016,0.3336069699333525,7.530333314876373
106,service_start,143.12677744879448,5,2,5.844306425299834,0.3176662242976545,NaN
106,departure,143.44444367309214,5,1,5.844306425299834,0.3176662242976545,6.161972649597487
107,service_start,143.44444367309214,4,2,4.570504132083869,5.453135874524544,NaN
112,arrival,144.3938813476681,5,2,NaN,NaN,NaN
113,arrival,145.64241361747028,6,2,NaN,NaN,NaN
114,arrival,145.7867135011457,7,2,NaN,NaN,NaN
115,arrival,146.17691579662832,8,2,NaN,NaN,NaN
101,departure,146.73256083583306,8,1,6.929315727625635,10.573016901150279,17.502332628775918
108,service_start,146.73256083583306,7,2,7.8255989383912095,1.1031007661812078,NaN
116,arrival,147.59010033257033,8,2,NaN,NaN,NaN
108,departure,147.83566160201426,8,1,7.8255989383912095,1.1031007661812078,8.92869970457241
109,service_start,147.83566160201426,7,2,7.270498381916269,0.6168432003495234,NaN
109,departure,148.4525048023638,7,1,7.270498381916269,0.6168432003495234,7.887341582265805
110,service_start,148.4525048023638,6,2,6.447945435331889,0.9753073396145658,NaN
107,departure,148.8975795476167,6,1,4.570504132083869,5.453135874524544,10.023640006608417
111,service_start,148.8975795476167,5,2,6.034193962282245,0.7381159839115685,NaN
117,arrival,148.9546825731233,6,2,NaN,NaN,NaN
118,arrival,148.96123894075026,7,2,NaN,NaN,NaN
119,arrival,148.968196913773,8,2,NaN,NaN,NaN
110,departure,149.42781214197836,8,1,6.447945435331889,0.9753073396145658,7.423252774946462
112,service_start,149.42781214197836,7,2,5.033930794310265,3.0840813234077427,NaN
111,departure,149.63569553152826,7,1,6.034193962282245,0.7381159839115685,6.772309946193815
113,service_start,149.63569553152826,6,2,3.993281914057974,0.44344890062682524,NaN
113,departure,150.0791444321551,6,1,3.993281914057974,0.44344890062682524,4.4367308146848075
114,service_start,150.0791444321551,5,2,4.292430931009392,0.6832887608885698,NaN
120,arrival,150.16120934209985,6,2,NaN,NaN,NaN
114,departure,150.76243319304365,6,1,4.292430931009392,0.6832887608885698,4.97571969189795
115,service_start,150.76243319304365,5,2,4.585517396415327,8.080923325566259,NaN
112,departure,152.5118934653861,5,1,5.033930794310265,3.0840813234077427,8.118012117717996
116,service_start,152.5118934653861,4,2,4.921793132815765,2.463896000094721,NaN
121,arrival,153.09547815950734,5,2,NaN,NaN,NaN
122,arrival,153.1450384359077,6,2,NaN,NaN,NaN
123,arrival,153.56695474705,7,2,NaN,NaN,NaN
124,arrival,154.72731774890525,8,2,NaN,NaN,NaN
125,arrival,154.79517191787963,9,2,NaN,NaN,NaN
116,departure,154.97578946548083,9,1,4.921793132815765,2.463896000094721,7.3856891329105
117,service_start,154.97578946548083,8,2,6.021106892357523,0.2229163087615419,NaN
117,departure,155.19870577424237,8,1,6.021106892357523,0.2229163087615419,6.244023201119063
118,service_start,155.19870577424237,7,2,6.237466833492107,7.887768769496225,NaN
126,arrival,155.63873794802652,8,2,NaN,NaN,NaN
127,arrival,156.36402003035204,9,2,NaN,NaN,NaN
128,arrival,157.88561776132784,10,2,NaN,NaN,NaN
115,departure,158.8433565186099,10,1,4.585517396415327,8.080923325566259,12.666440721981587
119,service_start,158.8433565186099,9,2,9.87515960483691,1.617078492745256,NaN
129,arrival,160.22024634129903,10,2,NaN,NaN,NaN
119,departure,160.46043501135517,10,1,9.87515960483691,1.617078492745256,11.492238097582174
120,service_start,160.46043501135517,9,2,10.299225669255321,1.191884161043677,NaN
120,departure,161.65231917239885,9,1,10.299225669255321,1.191884161043677,11.491109830298996
121,service_start,161.65231917239885,8,2,8.55684101289151,1.3904030294096925,NaN
121,departure,163.04272220180854,8,1,8.55684101289151,1.3904030294096925,9.947244042301207
122,service_start,163.04272220180854,7,2,9.897683765900837,0.10916381166904902,NaN
118,departure,163.0864745437386,7,1,6.237466833492107,7.887768769496225,14.12523560298834
123,service_start,163.0864745437386,6,2,9.519519796688598,1.9992721741866128,NaN
122,departure,163.1518860134776,6,1,9.897683765900837,0.10916381166904902,10.006847577569886
124,service_start,163.1518860134776,5,2,8.424568264572343,1.2734596796369662,NaN
130,arrival,163.51570966895113,6,2,NaN,NaN,NaN
124,departure,164.42534569311456,6,1,8.424568264572343,1.2734596796369662,9.698027944209315
125,service_start,164.42534569311456,5,2,9.630173775234937,3.310457067809847,NaN
131,arrival,164.67994473592475,6,2,NaN,NaN,NaN
123,departure,165.08574671792522,6,1,9.519519796688598,1.9992721741866128,11.518791970875213
126,service_start,165.08574671792522,5,2,9.447008769898702,1.3146016959846898,NaN
132,arrival,165.4076037322995,6,2,NaN,NaN,NaN
133,arrival,165.69956535484215,7,2,NaN,NaN,NaN
126,departure,166.4003484139099,7,1,9.447008769898702,1.3146016959846898,10.761610465883393
127,service_start,166.4003484139099,6,2,10.036328383557873,3.403127023393091,NaN
134,arrival,166.52931261657173,7,2,NaN,NaN,NaN
135,arrival,166.80061603203458,8,2,NaN,NaN,NaN
125,departure,167.7358027609244,8,1,9.630173775234937,3.310457067809847,12.940630843044772
128,service_start,167.7358027609244,7,2,9.850184999596564,1.953764088093198,NaN
136,arrival,169.48925030970364,8,2,NaN,NaN,NaN
128,departure,169.6895668490176,8,1,9.850184999596564,1.953764088093198,11.803949087689773
129,service_start,169.6895668490176,7,2,9.469320507718578,0.2113739193574873,NaN
127,departure,169.803475437303,7,1,10.036328383557873,3.403127023393091,13.43945540695097
130,service_start,169.803475437303,6,2,6.287765768351875,1.9322654266972357,NaN
129,departure,169.9009407683751,6,1,9.469320507718578,0.2113739193574873,9.680694427076077
131,service_start,169.9009407683751,5,2,5.220996032450358,0.15277934160205303,NaN
